event_id,unix_timestamp,date,state_code,state,state_abbr,mun_code,municipality,detained,total_people_dead,military_dead,navy_dead,federal_police_dead,afi_dead,state_police_dead,ministerial_police_dead,municipal_police_dead,public_prosecutor_dead,organized_crime_dead,civilian_dead,total_people_wounded,military_wounded,navy_wounded,federal_police_wounded,afi_wounded,state_police_wounded,ministerial_police_wounded,municipal_police_wounded,public_prosecutor_wounded,organized_crime_wounded,civilian_wounded,long_guns_seized,small_arms_seized,cartridge_sezied,clips_seized,vehicles_seized,afi,army,federal_police,ministerial_police,municipal_police,navy,other,state_police,source,organized_crime_lethality,army_lethality,navy_lethality,federal_police_lethality,organized_crime_lethality_diff,army_lethality_diff,navy_lethality_diff,federal_police_lethality_diff,organized_crime_NewIndex,army_NewIndex,navy_NewIndex,federal_police_NewIndex,perfect_lethality,category,global_id
37,1178514010,2007-05-07,16,Michoacán de Ocampo,MICH,6,Apatzingán,7,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,3,3,798,15,5,0,0,0,0,0,0,1,0,confrontations,1,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,NaN,0,dead.wounded,37
38,1178600410,2007-05-08,16,Michoacán de Ocampo,MICH,6,Apatzingán,0,4,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,17,0,486,15,0,0,1,0,0,0,0,0,0,confrontations,Inf,0,NaN,NaN,4,-3,0,0,1,-1,NaN,NaN,1,perfect_lethality,38
39,1178686810,2007-05-09,20,Oaxaca,OAX,413,Santa María Huatulco,10,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,confrontations,Inf,NaN,NaN,NaN,1,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,39
40,1178773210,2007-05-10,28,Tamaulipas,TAMPS,41,Victoria,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,confrontations,Inf,NaN,NaN,NaN,1,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,40
41,1178859610,2007-05-11,8,Chihuahua,CHIH,5,Ascensión,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,41
42,1179032410,2007-05-13,25,Sinaloa,SIN,15,Salvador Alvarado,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,confrontations,Inf,NaN,NaN,NaN,2,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,42
43,1179118810,2007-05-14,13,Hidalgo,HGO,51,Mineral de la Reforma,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,1,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,43
44,1179291610,2007-05-16,26,Sonora,SON,6,Arizpe,12,23,0,0,0,0,0,0,5,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,confrontations,Inf,NaN,NaN,NaN,16,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,44
45,1179378010,2007-05-17,5,Coahuila de Zaragoza,COAH,35,Torreón,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,confrontations,1,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,NaN,0,dead.wounded,45
46,1179464410,2007-05-18,26,Sonora,SON,19,Cananea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,46
47,1179637210,2007-05-20,20,Oaxaca,OAX,413,Santa María Huatulco,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,confrontations,NaN,NaN,NaN,Inf,0,0,0,1,NaN,NaN,NaN,1,0,no_dead_wounded,47
48,1179723610,2007-05-21,16,Michoacán de Ocampo,MICH,6,Apatzingán,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2438,65,4,0,1,0,0,0,0,0,0,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,48
49,1179723610,2007-05-21,10,Durango,DGO,23,Pueblo Nuevo,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,confrontations,Inf,NaN,NaN,NaN,3,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,49
50,1179982810,2007-05-24,16,Michoacán de Ocampo,MICH,38,Huetamo,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,840,37,2,0,1,0,0,0,0,0,0,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,50
51,1180155610,2007-05-26,2,Baja California,BC,1,Ensenada,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,confrontations,Inf,NaN,NaN,0,1,0,0,-1,1,NaN,NaN,-1,1,perfect_lethality,51
52,1180155610,2007-05-26,7,Chiapas,CHIS,65,Palenque,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,25,1,0,0,1,0,0,0,0,0,0,confrontations,NaN,NaN,NaN,0,0,0,0,-2,NaN,NaN,NaN,-1,0,no_dead_wounded,52
53,1180328410,2007-05-28,7,Chiapas,CHIS,65,Palenque,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,53
54,1180414810,2007-05-29,2,Baja California,BC,4,Tijuana,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,54
55,1180587610,2007-05-31,25,Sinaloa,SIN,16,San Ignacio,6,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,2,99,4,0,0,1,0,0,0,0,0,0,confrontations,NaN,0,NaN,NaN,0,-3,0,0,NaN,-1,NaN,NaN,0,no_dead_wounded,55
56,1180674010,2007-06-01,25,Sinaloa,SIN,16,San Ignacio,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,confrontations,NaN,Inf,NaN,NaN,0,2,0,0,NaN,1,NaN,NaN,0,no_dead_wounded,56
57,1181192410,2007-06-07,1,Aguascalientes,AGS,1,Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,57
58,1181365210,2007-06-09,19,Nuevo León,NL,38,Montemorelos,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,1,622,19,2,0,1,0,0,0,0,0,0,confrontations,0,NaN,NaN,NaN,-1,0,0,0,-1,NaN,NaN,NaN,0,just_wounded,58
59,1181624410,2007-06-12,8,Chihuahua,CHIH,5,Ascensión,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,59
60,1182315610,2007-06-20,27,Tabasco,TAB,4,Centro,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,60
61,1183179610,2007-06-30,28,Tamaulipas,TAMPS,22,Matamoros,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,confrontations,NaN,NaN,NaN,0,0,0,0,-1,NaN,NaN,NaN,-1,0,no_dead_wounded,61
62,1185339610,2007-07-25,30,Veracruz de Ignacio de la Llave,VER,193,Veracruz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,62
63,1185598810,2007-07-28,28,Tamaulipas,TAMPS,32,Reynosa,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,432,24,2,0,1,0,0,0,0,0,0,confrontations,Inf,NaN,NaN,NaN,1,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,63
64,1185598810,2007-07-28,2,Baja California,BC,4,Tijuana,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,64
65,1186462810,2007-08-07,27,Tabasco,TAB,4,Centro,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,65
